Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
House for sale,"$1,350,000",5,5.5,"4,910sqft",0.29acre lot,"3411 Torrance Blvd Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3411-Torrance-Blvd_Frisco_TX_75034_M80297-21124?asset_id=LISTING_TOOLKIT_TEAMS-516390517_B523&from=srp-list-card
House for sale,"$8,295,000",6,7.5,"9,584sqft",0.88acre lot,"3875 Balfour Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3875-Balfour-Ct_Frisco_TX_75034_M95703-30238?from=srp-list-card
Contingent,"$435,000",3,2,"1,409sqft","6,534sqft lot","8441 Willow Creek Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8441-Willow-Creek-Dr_Frisco_TX_75034_M85694-96475?from=srp-list-card
Contingent,"$825,000",5,3.5,"3,870sqft",0.25acre lot,"3696 Chesapeake Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3696-Chesapeake-Dr_Frisco_TX_75034_M79903-50651?from=srp-list-card
House for sale,"$1,055,000",4,3.5,"3,761sqft","8,189sqft lot","1 Horizon Pt Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1-Horizon-Pt_Frisco_TX_75034_M77884-66214?from=srp-list-card
House for sale,"$875,000",5,4,"3,912sqft",0.28acre lot,"4871 Voyager Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4871-Voyager-Dr_Frisco_TX_75034_M79146-11735?from=srp-list-card
House for sale,"$4,350,000",5,5.5+,"7,302sqft",0.57acre lot,"4910 Monterey Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4910-Monterey-Dr_Frisco_TX_75034_M72238-45853?from=srp-list-card
House for sale,"$1,050,000",5,4.5,"5,035sqft",0.3acre lot,"4612 Parkside Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4612-Parkside-Dr_Frisco_TX_75034_M80479-10788?from=srp-list-card
House for sale,"$949,000",5,4,"4,071sqft","9,191sqft lot","4530 Limerick Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4530-Limerick-Ln_Frisco_TX_75034_M76657-76367?from=srp-list-card
House for sale,"$1,049,900",5,5.5,"5,016sqft",0.24acre lot,"4456 Newcastle Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4456-Newcastle-Dr_Frisco_TX_75034_M79729-71607?from=srp-list-card
